,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
815,Data Scientist,Employer Provided Salary:$120K - $145K,"Job Description:
Unleash your analytical and technical skills as a hands-on Data Scientist in our brand-new Data Science team. In this role, you’ll embark on an exhilarating journey where you’ll tackle a wide range of exciting challenges throughout our project’s entire lifecycle. From the initial phase of data sourcing and exploration to pivotal moments of model selection, validation, evaluation and deployment at scale, you’ll be at the forefront of it all.
As our Data Scientist, you’ll have the opportunity to build innovative data models, develop groundbreaking data products, and deliver remarkable analysis using vast datasets relevant to the health care system in the United States.
Join our extraordinary team of sharp, witty, and dedicated colleagues who are deeply passionate about data and improving patient access to healthcare. We’re looking for a seasoned professional who can effortlessly collaborate with business stakeholders, translate their needs into technical solutions, and bring those solutions to life.
What You'll Do:",3.2,"Phreesia Payment Services
3.2",Remote,501 to 1000 Employees,2005.0,Company - Public,Health Care Services & Hospitals,Healthcare,Unknown / Non-Applicable
818,"Data Scientist, Senior",$101K - $152K (Glassdoor est.),"Job Description:

Position: Data Scientist, Senior
Reports To: The Customer and Program Manager
Clearance Type: Active TS/SCI with ability to obtain CI polygraph
Work Location: Fort Belvoir, VA
Job Description: Advantage SCI is seeking a Data Scientist, Senior to be considered for employment. Conducts data analytics, data engineering, data mining, exploratory analysis, predictive analysis, and statistical analysis, and uses scientific techniques to correlate data into graphical, written, visual and verbal narrative products, enabling more informed analytic decisions. Proactively retrieves information from various sources, analyzes it for better understanding about the data set, and builds AI tools that automate certain processes. Duties typically include: creating various ML-based tools or processes, such as recommendation engines or automated lead scoring systems. Performs statistical analysis, applies data mining techniques and builds high-quality prediction systems. Should be skilled in data visualization and use of graphical applications, including Microsoft Office (Power BI) and Tableau; major data science languages, such as R and Python; managing and merging of disparate data sources, preferably through R, Python, or SQL; statistical analysis; and data mining algorithms. Should have prior experience with large data MultiINT analytics, ML, and automated predictive analytics.",3.2,"Advantage SCI
3.2","Fort Belvoir, VA",51 to 200 Employees,2000.0,Company - Private,Security & Protective,Management & Consulting,$5 to $25 million (USD)
820,Cyber Security Business Expert 03-SC0830-1,$58K - $94K (Glassdoor est.),"PLEASE NOTE: This position requires an ACTIVE Top Secret/SCI Clearance with Polygraph. To be considered for this position, you MUST have an ACTIVE Clearance Level of Top Secret/SCI with Polygraph
**PLEASE NOTE: Position requires a combination of cyber security and data scientist skills. 6-week security scrub required.**
REQUIRED SKILLS AND DEMONSTRATED EXPERIENCE
The Contractor shall have the following required skills, certifications and demonstrated experience:
Demonstrated experience addressing large volumes of new, possibly dis-similar data or concepts.
Demonstrated experience identifying and extracting data from multiple sources
Demonstrated experience managing and transforming structured and unstructured data
Demonstrated experience highlighting key issues and relationships from a base of information",5.0,"Probity Inc.
5.0","Chantilly, VA",Unknown,2011.0,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable
821,Manager of Quality Assurance and Program Management,Employer Provided Salary:$60K - $85K,"JOB DESCRIPTION
Job Title: Manager of Quality Assurance and Program Management
Department: Quality Assurance
Report to: VP of Product Development
Revision Date: July 10, 2023
The Manager of Quality Assurance has the primary responsibility of assuring organizational compliance with the NX Prenatal R&D Lab Operations Standard Operating Procedures and maintaining the Lab Documentation System. The individual will be responsible for verifying that all personnel are trained and can follow the required documented lab procedures to attain the desired quality standards for the execution of clinical studies, experimental protocols, documentation of results, and data reporting. This includes establishing a company standard for lab notebook documentation and assuring compliance with the associated procedures.",4.3,NX Prenatal Inc.,"Bellaire, TX",,,,,molecular diagnostics,
822,Senior Data Scientist with Machine Learning/Artificial Intelligence Experience,$96K - $134K (Glassdoor est.),"Clearance Level Top Secret SCI + Polygraph Category Data Science Location Chantilly, Virginia Onsite Workplace
Requisition Type: Regular
Your Impact
Own your opportunity to serve as a critical component of our nation’s safety and security. Make an impact by using your expertise to protect our country from threats.
Job Description
Senior Data Scientist with Machine Learning/Artificial Intelligence Experience
Basic Qualifications",3.9,"General Dynamics Information Technology
3.9","Chantilly, VA",10000+ Employees,1996.0,Subsidiary or Business Segment,Information Technology Support Services,Information Technology,$10+ billion (USD)
824,Data Scientist,$79K - $112K (Glassdoor est.),"Company Description

Key Cyber Solutions (KCS) is a leading enterprise IT consulting firm that specializes in Secure Agile Software Development, Cybersecurity, Enterprise IT and Data Management services for both government and healthcare organizations. Our approach to business is both aggressive and agile. We value a strong work-ethic, good judgement, organizational skills and, most importantly, an entrepreneurial spirit. At KCS we treat our employees like family and, in turn, they pay that respect forward to every one of our clients.

Job Description

As a Data Scientist at Key Cyber Solutions, your primary responsibility will be to analyze and interpret complex data sets to uncover insights, trends, and opportunities that can guide business strategies and decisions.",,Key Cyber Solutions,"Richmond, VA",Unknown,,Company - Public,,"Software & Technical Consulting, Software",Unknown / Non-Applicable
826,Machine Learning Engineer,$88K - $132K (Glassdoor est.),"Work for a dynamic company specializing in technical support services and engineering consultancy. Decision Technologies, Inc. has extensive experience developing RF Systems and Missile Sensors, production transition, quality and reliability assessment, test and evaluation, and logistics support. We match our capabilities to the needs of our customers. Join an experienced team that provides exceptional support and leadership in our core competencies.
Decision Technologies offers employees a competitive salary and benefits package, 401K, Flexible Spending Accounts, and Short and Long-Term Disability. As a growing company, we provide advancement opportunities and Tuition Reimbursement.
We seek a qualified Machine Learning Engineer in San Diego, National Capital Region, with remote/telework eligibility.
YOU MUST HAVE AN ACTIVE DOD SECRET CLEARANCE",4.9,"Decision Technologies Inc
4.9","Arlington, VA",51 to 200 Employees,2003.0,Company - Private,Aerospace & Defense,Aerospace & Defense,$25 to $100 million (USD)
827,Sr. Data Scientist,Employer Provided Salary:$87K - $139K,"Sr. Data Scientist
Status: Exempt (salaried)
Department: 391-Reliability Engineering
Position Summary
The position will focus on analytical diagnostics and predictive maintenance of Plug Power’s rapidly growing fuel cell fleet. This individual should have extensive knowledge in “Big Data” programming languages and methodologies along with SQL database experience. An in depth understanding of data science, software engineering, and high performance cloud computing will be an integral part of this positions success. This person will adhere to best practices, processes and methodologies involved with database development and data analytics. This ideal candidate will exhibit strong leadership skills, the ability to work collaboratively in a team, and the flexibility to adapt to the changing needs of a fast-paced environment while maintaining a positive attitude.

Core Duties and Responsibilities
$86,815.00 - $138,904.00",3.8,"Plug Power Inc
3.8","Spokane, WA",201 to 500 Employees,1997.0,Company - Public,Energy & Utilities,"Energy, Mining & Utilities",$100 to $500 million (USD)
828,Principal Software Engineer,Employer Provided Salary:$134K - $257K,"Microsoft's mission is to empower people and organizations to achieve more, and Office 365 (O365) is at its core. As digital transformation continues to sweep through every industry, data engineering over Big Data and Artificial Intelligence (AI) crucial to this mission.
Microsoft 365 substrate is critical to Microsoft’s cloud strategy and it is experiencing tremendous growth, with 120 million monthly active commercial users and hundreds of millions of consumer users. The Substrate is a massively distributed cloud service with O(exabyte) data handled by O(100K) servers in O(100) data-centers around the entire globe, and it's a joint effort across Office 365 teams as well as Windows and Bing.
We are the O365 substrate productivity intelligence team, and we are building a platform that empowers first and third-party developers and data scientist to build new breed of intelligent applications without compromising O365 data privacy and compliance standards. O365 MyAnalytics, Workplace Analytics and Bing apps are examples of consumers of the platform. The platform also enables Machine learning solutions over O365 substrate data.
We are looking for a Principal Software Engineer with a passion for solving hard problems, big data, ML Ops (Machine Learning operations), real time event processing, and building software at very large scale.




Microsoft is an equal opportunity employer. Consistent with applicable law, all qualified applicants will receive consideration for employment without regard to age, ancestry, citizenship, color, family or medical care leave, gender identity or expression, genetic information, immigration status, marital status, medical condition, national origin, physical or mental disability, political affiliation, protected veteran or military status, race, ethnicity, religion, sex (including pregnancy), sexual orientation, or any other characteristic protected by applicable local laws, regulations and ordinances. If you need assistance and/or a reasonable accommodation due to a disability during the application process, read more about requesting accommodations.",4.3,"Microsoft
4.3","Redmond, WA",10000+ Employees,1975.0,Company - Public,Computer Hardware Development,Information Technology,$10+ billion (USD)
829,Senior Data Scientist,Employer Provided Salary:$155K - $213K,"At ZoomInfo, we encourage creativity, value innovation, demand teamwork, expect accountability and cherish results. We value your take charge, take initiative, get stuff done attitude and will help you unlock your growth potential. One great choice can change everything. Thrive with us at ZoomInfo.
About our Team
Our mission is to maximize the value of ZI's comprehensive B2B database through practical application of ML and Generative AI to solving real-world business challenges. To this end, the team has cultivated a powerful fusion of product thinking, ML, language models, and iterative methodologies which work together to deliver a robust suite of data products that inject data-driven intelligence into every facet of ZI. We actively research existing solutions and adapt them to fit our unique requirements, all while leaving ample room for creativity. We collaborate with other data scientists, product managers, ML engineers, subject-matter experts and key business stakeholders to form a cohesive unit dedicated to identifying critical gaps and defining effective approaches to solving the most valuable problems in our business. The result? An impressive array of both experimental and production-ready Data Science products that have a tangible impact on our customer's ability to generate revenue with their Go-to-Market motion. Embrace the opportunity to join our accomplished team on this transformative journey, where innovation and teamwork thrive, and where your contributions will shape the future of data-driven excellence.",3.8,"ZoomInfo Technologies LLC
3.8","Vancouver, WA",1001 to 5000 Employees,2007.0,Company - Public,Software Development,Information Technology,$1 to $5 billion (USD)
830,Senior Machine Learning Engineer,Employer Provided Salary:$179K - $218K,"Rec Room is the best place to build and play games together. Players can chat, hang out, play in millions of rooms, or build something new to share with the world! We have a vibrant commercial ecosystem within Rec Room, and our goal is to enable creators to be rewarded for their work. Come join us on the ground floor to help optimize the ecosystem for both players and the business.
As a Senior Machine Learning Data Scientist, you'll be responsible for designing, developing, and implementing machine learning models to power our in-game store recommendations and serve users content that they'd find valuable. You'll be supporting creators in making a living on the platform, as well as playing a critical role in the success of Rec Room as a business.
WHAT YOU'LL DO:
Design, develop and implement production-facing ML models to deliver valuable commerce content to our users.",4.5,"Rec Room
4.5","Seattle, WA",51 to 200 Employees,2016.0,Company - Private,Video Game Publishing,Media & Communication,Unknown / Non-Applicable
831,DATA ENGINEER,$101K - $142K (Glassdoor est.),"At Shell Energy Solutions, we believe there’s a better way to power your business and home.
Aligned with Shell’s ambition to be a significant global power business and to become net zero by 2050, our cleaner, affordable and simple solutions help companies manage their energy spend and plan their sustainability roadmap - a fresh approach for environmentally conscious businesses that are looking to boost their sustainability credentials. We also have set out to deliver the very best experience to our customers across all our channels.
Shell Energy Solutions mission is delivering cleaner energy solutions for a brighter tomorrow by guiding customers toward a better energy future, enabling customer choice and by providing market-leading energy solutions.
Going above and beyond for our customers is what we’re all about and we have set out to deliver the very best experience to our customers across all our channels. But bigger challenges lie ahead, and we need to keep moving forward. Are you ready to help us get there?",4.2,"Shell Energy Solutions
4.2","Houston, TX",10000+ Employees,1907.0,Company - Public,Energy & Utilities,"Energy, Mining & Utilities",$10+ billion (USD)
832,Computer Vision Engineer,$82K - $126K (Glassdoor est.),"Company Overview:
We are a world-class team of professionals who deliver next generation technology and products in robotic and autonomous platforms, ground, soldier, and maritime systems in 50+ locations world-wide. Much of our work contributes to innovative research in the fields of sensor science, signal processing, data fusion, artificial intelligence (AI), machine learning (ML), and augmented reality (AR).

QinetiQ US’s dedicated experts in defense, aerospace, security, and related fields all work together to explore new ways of protecting the American Warfighter, Security Forces, and Allies. Being a part of QinetiQ US means being central to the safety and security of the world around us. Partnering with our customers, we help save lives; reduce risks to society; and maintain the global infrastructure on which we all depend.

Why Join QinetiQ US?

If you have the courage to take on a wide variety of complex challenges, then you will experience a unique working environment where innovative teams blend different perspectives, disciplines, and technologies to discover new ways of solving complex problems. In our diverse and inclusive environment, you can be authentic, feel valued, be respected, and realize your full potential. QinetiQ US will support you with workplace flexibility, a commitment to the health and well-being of you and your family and provide opportunities to work with a purpose. We are committed to supporting your success in both your professional and personal lives.
Position Overview:


Responsibilities:

Required Qualifications:

Company EEO Statement:",3.7,"QinetiQ US
3.7","Fort Belvoir, VA",501 to 1000 Employees,1956.0,Subsidiary or Business Segment,Aerospace & Defense,Aerospace & Defense,$100 to $500 million (USD)
833,Senior Data Scientist,$116K - $155K (Glassdoor est.),"ROLE:
The Senior Data Scientist will work alongside existing Condition Based Maintenance (CBM) personnel to support data collection, review, and analysis, as well as working with to implement relevant algorithms and Machine Learning (ML)/Artificial Intelligence (AI) models to achieve project goals. This role will involve collecting data with existing tools, reviewing data collected and stored, identifying trends and algorithms for predictive and diagnostic health classification, and developing/recommending ML/AI approaches. Data Analytics work will be performed on streaming sensor data including accelerometers, voltage/current sensors, communications bus messages, and other relevant data points, including both synchronous and asynchronous data points. The Senior Data Scientist will be an integral part to Trident's established CBM team using a variety of tools to guide Trident's development of health monitoring solutions.
ESSENTIAL FUNCTIONS",3.8,"Trident Systems Inc
3.8","Fairfax, VA",51 to 200 Employees,1985.0,Company - Private,Aerospace & Defense,Aerospace & Defense,$25 to $100 million (USD)
834,Data Scientist,$79K - $108K (Glassdoor est.),"arctos-us.com/careers/

OVERVIEW
Reach New Heights!
ARCTOS is a fast-growing, technology-oriented small business providing aerospace, defense, and digital solutions, with offices and work sites across the United States. We’re looking for team-oriented innovators eager to tackle interesting challenges, work on important problems, and receive great benefits and employee support.
REQUIREMENT
ARCTOS is seeking a digital content engineer to join our team supporting AFRL's High Speed Systems Division (AFRL/RQH). The principal thrust of this position will be to collect, organize, catalog, and store program and technical data for AFRL/RQH on numerous programs. This will involve working closely with AFRL/RQH scientists and engineers, as well as outside contractors. A key emphasis will be on assisting the division with the transition to digital engineering practices.",4.3,"ARCTOS Technology Solutions
4.3","Beavercreek, OH",Unknown,,Company - Private,Architectural & Engineering Services,"Construction, Repair & Maintenance Services",Unknown / Non-Applicable
835,Senior Data Scientist,$124K - $173K (Glassdoor est.),"Why this opportunity is unique…

The Fortive companies provide essential technology for the people who accelerate progress. Our reason for being is to bring innovations that help keep the world moving forward.

Why this is a great place to work…

It all starts with the people and the culture. You will love working with colleagues who have a genuine desire to help you solve challenges. This keeps us wired.

Our culture is one of continuous improvement. We each come into work every day striving to make the organization a little better than it was the day before.

We ask the tough questions and push each other to be bold in environments that fosters authenticity and transparency.

There are no games. No hidden agenda. No politics. What you see one day is what you will get every other day.


What you will do…

This opportunity could be for you if…

Hold a bachelor’s degree (or its equivalent) in computer-science/information-theory/language-technologies or a related field is required, and a Master or PhD is preferred
Demonstrated expertise with natural language processing applications and integrating them into organizational processes.
Broad experience and familiarity with other data-science methodologies and modalities, including machine learning, generative simulation, and statistics
Extensive experience being part of cross-functional teams solving hard problems
Project and stakeholder management experience


Track record of success in supporting the deployment of NLP applications into customer-facing products
Distinctive reasoning skills and impeccable business judgment
Strong written and verbal communication skills.
Excellent problem-solving capabilities and critical thinking skills, as well as the ability to work on your own.

Fortive Corporation Overview

Fortive’s essential technology makes the world stronger, safer, and smarter. We accelerate transformation across a broad range of applications including environmental, health and safety compliance, industrial condition monitoring, next-generation product design, and healthcare safety solutions.

We are a global industrial technology innovator with a startup spirit. Our forward-looking companies lead the way in software-powered workflow solutions, data-driven intelligence, AI-powered automation, and other disruptive technologies. We’re a force for progress, working alongside our customers and partners to solve challenges on a global scale, from workplace safety in the most demanding conditions to groundbreaking sustainability solutions.

We are a diverse team 18,000 strong, united by a dynamic, inclusive culture and energized by limitless learning and growth. We use the proven Fortive Business System (FBS) to accelerate our positive impact.

At Fortive, we believe in you. We believe in your potential—your ability to learn, grow, and make a difference.

At Fortive, we believe in us. We believe in the power of people working together to solve problems no one could solve alone.

At Fortive, we believe in growth. We’re honest about what’s working and what isn’t, and we never stop improving and innovating.

For you, for us, for growth.

Ready to move your career forward? Find out more at careers.fortive.com .
Fortive’s essential technology makes the world stronger, safer, and smarter. We accelerate transformation across a broad range of applications including environmental, health and safety compliance, industrial condition monitoring, next-generation product design, and healthcare safety solutions.

We are a global industrial technology innovator with a startup spirit. Our forward-looking companies lead the way in software-powered workflow solutions, data-driven intelligence, AI-powered automation, and other disruptive technologies. We’re a force for progress, working alongside our customers and partners to solve challenges on a global scale, from workplace safety in the most demanding conditions to groundbreaking sustainability solutions.

We Are an Equal Opportunity Employer
Fortive Corporation and all Fortive Companies are proud to be equal opportunity employers. We value and encourage diversity and solicit applications from all qualified applicants without regard to race, color, national origin, religion, sex, age, marital status, disability, veteran status, sexual orientation, gender identity or expression, or other characteristics protected by law. Fortive and all Fortive Companies are also committed to providing reasonable accommodations for applicants with disabilities. Individuals who need a reasonable accommodation because of a disability for any part of the employment process should ask to speak with a Human Resources representative to request an accommodation.",3.2,"Fortive Corporate
3.2","Pittsburgh, PA",10000+ Employees,2016.0,Company - Public,Machinery Manufacturing,Manufacturing,$5 to $10 billion (USD)
836,Data Engineer,Employer Provided Salary:$81K - $121K,"Gorbel’s mission is simple: We improve people’s lives.
That mission guides everything we do, from the products and service we provide to our outside customers to the work environment we foster for our employees. We are a manufacturer of material handling and fall protection products for the production and warehouse/distribution sectors. We’re on the cutting edge of manufacturing and distribution; a thriving, growing company that is constantly seeking out new ways to innovate and elevate our products and our processes – and we’re looking for people like you to join us in that mission.
We’re currently hiring for open positions in the US and Canada. We operate in Canada as Engineered Lifting Systems and Equipment (ELS)/DBA Gorbel® Canada, and subsequent communication related to Canadian positions may show the ELS name. You may be contacted by phone by recruitment personnel based in either Canada or New York.",3.8,Gorbel,"Victor, NY",,,,,industrial sector,
837,Data Scientist / Secret Clearance (Visualizations),$75K - $113K (Glassdoor est.),"We are seeking highly motivated, professional and responsible individuals. Improvix Technologies fosters creativity and presents an opportunity for each team member to have a greater impact on the level of success and ingenuity within the products and services we provide. Improvix has the utmost respect for their employees, provides opportunities to grow, and aims to support their employees so that they may stay focused and achieve high performance in their jobs.Role: Data Scientist
Location: Remote
Type: Full Time
Clearance: Secret Clearance (TS Eligible)
Job Description
We are looking for energetic, self-starting, detail-oriented team members for our data analytics project in support of the US Department of State. We have available positions for mid-level Data Scientists and Visualization specialists, especially those with experience in supporting federal clients, financial data, PowerBI, Databricks, and Azure. These individuals will be responsible for assisting the Senior Data Scientist in developing a new data-based solution for our customer.",4.8,"Improvix Technologies
4.8","Reston, VA",51 to 200 Employees,2012.0,Company - Public,Information Technology Support Services,Information Technology,Unknown / Non-Applicable
838,"Senior Staff Product Designer, AI Assistants & Authoring Experiences",$143K - $194K (Glassdoor est.),"Mission
At Databricks, our mission as designers is to make working with data simpler and more accessible so that more people can help solve the world's toughest problems. Product Designers at Databricks balance the creativity of a craftsperson with the analytical curiosity of a data scientist. We believe in the traditional and timeless value of great graphic design - while at the same time, we have a restless desire to get to the truth and make the best decisions possible using data. We design simple and collaborative products that have the power to delight a discriminating and highly technical audience.
The impact you will have:
Contribute to the product design for authoring experiences across the Databricks platform
Build an understanding of the Databricks developer audience and the jobs they wish to accomplish using our code authoring tools",4.5,"Databricks
4.5","Seattle, WA",1001 to 5000 Employees,2013.0,Company - Private,Computer Hardware Development,Information Technology,Unknown / Non-Applicable
839,Continuous Improvement Engineer,$69K - $96K (Glassdoor est.),"JOB DESCRIPTION
As a Trex Continuous Improvement Engineer, you’ll be driving performance to the next level by identifying and implementing improvement activities.
Joining our Continuous Improvement team, you’ll help us operate more efficiently by executing projects that will create more efficient processes and results in cost savings.
DUTIES
Plan, organize, lead, and facilitate Continuous Improvement events (Kaizen, Loss Elimination, Value Stream Mapping, Value Engineering, etc.) and process improvement activities.
Work individually and lead teams to complete projects following systemic loss elimination processes/tools and Six Sigma methodologies.
Required
Required",3.5,"Trex Company, Inc
3.5","Winchester, VA",1001 to 5000 Employees,1996.0,Company - Public,Wood & Paper Manufacturing,Manufacturing,$1 to $5 billion (USD)
845,Data Scientist,Employer Provided Salary:$90K - $130K,"Data Scientist
Intro
Our mission is to decarbonize the ""hard-to-abate"" heavy industrial sectors of the world economy with a new class of electrolyzers. Advanced Ionics is seeking a highly motivated Software Developer to join our growing team that is dedicated to developing transformational “green hydrogen” industrial electrolyzer systems.
You are responsible for building software to operate our systems, providing data analysis, and using tools to model materials and physics.
You’re the right candidate for this job if you enjoy workplaces where everyone has a voice, if you’re passionate about solving climate change through complex and wonky markets, and if you’re willing propose a new idea, write a memo, code a script, and turn a wrench.",,Advanced Ionics Inc,"Milwaukee, WI",Unknown,,Company - Public,,Provider of solutions for hydrogen generation,Unknown / Non-Applicable
846,Data Scientist Mid Level,$86K - $127K (Glassdoor est.),"AEEC is currently seeking a Data Scientist – Mid Level to support our Federal Customer at the customer’s location in Annapolis Junction, MD with some remote work.

Required Skills and Qualifications:

Active TS/SCI clearance with ability to pass a polygraph
Full time work in a SCIF is required, but hours are flexible.
Degree in computer science, software engineering, or field applicable to the position required.
Bachelor's and 6+ years of relevant experience required. Additional experience may be considered in lieu of degree.
Experience with data transport and transformation APIs and technologies such as JSON, XML, XSLT, JDBC, and REST.",2.9,"AEEC, LLC.
2.9","Reston, VA",1 to 50 Employees,1995.0,Company - Private,Information Technology Support Services,Information Technology,$25 to $100 million (USD)
847,"Data Scientist, Senior Technical Specialist",$119K - $165K (Glassdoor est.),"AEEC is currently seeking a Data Scientist, Senior Technical Specialist to support our Federal Customer at the customer’s location in Annapolis Junction, MD with some remote work.

Required Skills and Qualifications:

Active TS/SCI clearance with ability to pass a polygraph
Full time work in a SCIF is required, but hours are flexible.
Degree in computer science, software engineering, or field applicable to the position required.
Master's plus 12 or more years of relevant experience required. Additional experience may be considered in lieu of degree.
Experience with data transport and transformation APIs and technologies such as JSON, XML, XSLT, JDBC, and REST.",2.9,"AEEC, LLC.
2.9","Reston, VA",1 to 50 Employees,1995.0,Company - Private,Information Technology Support Services,Information Technology,$25 to $100 million (USD)
848,"Lean Six Sigma Consultant - CPI Expert - Ft. Belvoir, VA",Employer Provided Salary:$145K,"Job Description:
Provide Lean Six Sigma consulting services as a certified Lean Six Sigma Master Black Belt for a DoD client in Ft. Belvoir, VA.
Provide expert advice, assistance, guidance, coaching or counseling to improve DoD’s mission-oriented business functions;
Provide management and strategy consulting;
Provide program planning, change management, auditing, assessments, and evaluations;
Assist with and conduct studies, analyses, scenarios, modeling, and reports relating to an agency’s mission-oriented business programs or initiatives;
Conduct CPI projects using a variety of improvement methodologies (e.g., LSS, BPR, ToC, Lean, HCD, Agile Project Management (excludes software development), DFSS, etc.);",4.8,NOVACES,"Fort Belvoir, VA",,,,,management consulting services,
849,Data Scientist,$93K - $129K (Glassdoor est.),"Job Description:

Prescient Edge is seeking a Data Scientist to support a federal government client.

Benefits:
At Prescient Edge, we believe that acting with integrity and serving our employees is the key to everyone's success. To that end, we provide employees with a best-in-class benefits package that includes:
A competitive salary with performance bonus opportunities.
Comprehensive healthcare benefits, including medical, vision, dental, and orthodontia coverage.",4.3,"Prescient Edge Federal
4.3","Quantico, VA",51 to 200 Employees,2008.0,Company - Private,Aerospace & Defense,Aerospace & Defense,Unknown / Non-Applicable
850,Senior Trajectory Data Scientist/Data Administrator,$82K - $125K (Glassdoor est.),"Overview:
Our long-term client relationship with Jacobs has led to a need for a Senior Trajectory Data Scientist/Data Administrator on the JSC Engineering, Technology, and Science (JETS) contract at Johnson Space Center (Houston, TX).

The Senior Trajectory Data Scientist/Data Administrator will work on the JSC Engineering, Technology, and Science (JETS) Advanced Mission Design Team providing support in analysis and design across the Orion and commercial crew programs

Building on more than four decades of experience in providing innovative integration solutions for government and commercial space programs, Barrios offers an extensive range of engineering, software, and related technology integration services in support of the aerospace community. As a woman-owned and operated small business, we are a people-focused company that supports professional development, while working to ensure that you maintain a healthy work-life balance.

Responsibilities:

Qualifications:",4.2,"Barrios Technology
4.2","Houston, TX",501 to 1000 Employees,1993.0,Company - Private,Aerospace & Defense,Aerospace & Defense,$25 to $100 million (USD)
851,Cyber Data Scientist Senior Technical Specialist,$98K - $143K (Glassdoor est.),"Overview:
Arcfield is a leading provider of full lifecycle, mission-focused systems engineering and integration capabilities to the U.S. government and its allies. The company has more than 60 years of proven experience providing advanced engineering and analysis, IT and C5ISR capabilities to support our nation’s most critical national security missions. Headquartered in Chantilly, VA and with 16 offices around the world, Arcfield employs approximately 1,200 engineers, analysts, IT specialists, and other professionals who put our customers’ missions first, helping them solve their most complex challenges through innovations in modeling, simulation and analysis, digital transformation and C5ISR. Visit arcfield.com for more details.
Responsibilities:
Program Description:
The program provides Systems Engineering and Technical Assistance (SETA) core and non-core support in the areas of Cyber Security and Management to improve the Information Assurance (IA) posture of a National customer. The contracts Core Capabilities are: IA Management, Federal Information Security Management Act (FISMA) coordination and reporting, Risk Management Framework (RMF) application, IA compliance measurements and metrics, Assessment and Authorization (A&A), Vulnerability Management, and Cyber Defense support.

Qualifications:
EEO Statement:",4.1,"Arcfield
4.1","Chantilly, VA",1001 to 5000 Employees,2021.0,Company - Private,Aerospace & Defense,Aerospace & Defense,$500 million to $1 billion (USD)
852,Cloud Data Scientist and Engineer,$81K - $117K (Glassdoor est.),"Cloud Data Scientist and Engineer
Full Time Nashville, TN Number of positions : 1
Job Duties
Serve as the primary backup to the Cloud Data Architect in developing and supporting the BOS Cloud Engineering and Automation Platform. Identify and address complex business problems. Design and drive the creation of new data products and analytical capabilities in creating data science-related modules in the BOS Framework.
Gather and analyze large volumes of data, evaluate scenarios to predict future outcomes, and support decision-making. Use advanced statistical data modeling techniques and make diagnostic, predictive, and prescriptive recommendations.",4.4,"BOS Framework
4.4","Nashville, TN",1 to 50 Employees,2017.0,Company - Private,Software Development,Information Technology,$1 to $5 million (USD)
853,Data Analyst - TS/SCI with Polygraph Required,$77K - $122K (Glassdoor est.),"Overview:
LMI: Innovation at the Pace of Need™

At LMI, we’re reimagining the path from insight to outcome at the new speed of possible. Combining a legacy of over 60 years of federal expertise with our innovation ecosystem, we minimize time to value and accelerate mission success. We energize the brightest minds with emerging technologies to inspire creative solutioning and push the boundaries of capability. LMI advances the pace of progress, enabling our customers to thrive while adapting to evolving mission needs.

The anticipated activities and support for the Office of Equality and Include (OE&I) require a diversity of skills and knowledge of Equal Employment Opportunity Commission (EEOC) laws, regulations and policy guidance, industry standards and technologies.
Responsibilities:
The anticipated activities and support for the Office of Equality and Include (OE&I) require a diversity of skills and knowledge of Equal Employment Opportunity Commission (EEOC) laws, regulations and policy guidance, industry standards and technologies. The Data Analyst shall possess wide ranging familiarization, knowledge and skill with, but not limited to the following:
Qualifications:",4.3,"Logistics Management Institute
4.3","Chantilly, VA",1001 to 5000 Employees,1961.0,Company - Private,Business Consulting,Management & Consulting,$100 to $500 million (USD)
855,Data Engineer,$78K - $108K (Glassdoor est.),"Education and Experience Requirements
3+ years of experience as a Data Scientist or Data Analysts and Bachelor's Degree in Computer Programming, Science, Engineering or a related technical discipline, or the equivalent combination of education, technical training, or work/military experience
5+ years of experience in a Linux environment
Direct experience and demonstrated proficiency with multiple programming and scripting languages preferred MPI, OpenMP, Python, Julia, R, Java
4+ years of SQL experience (No-SQL experience is a plus)
Experience designing, building, and maintaining data processing and management systems
Experience in data mining and data transformations
Experience building robust, secure data pipelines using industry standard tools and techniques (e.g. Kafka, Nifi, Spark, etc
Requirements:",4.1,"World Wide Technology Holding, LLC
4.1","Arlington, VA",5001 to 10000 Employees,1990.0,Company - Private,Computer Hardware Development,Information Technology,$10+ billion (USD)
856,DATA SCIENTIST - MHO,$80K - $116K (Glassdoor est.),"Responsibilities:
The Data Scientist II uses descriptive, prescriptive, and predictive statistical/data science techniques to analyze behavioral health outcomes and clinical data in search of clinical patterns and trends. From those analyses, develops clinically relevant and actionable insights and communicates them to clients and stakeholders through custom, recurring, and web-based automated/business intelligence reporting that uses effective data visualizations. Designs and implements statistical and data science solutions for enhanced products or services, maintaining and promoting data integrity and best practices in statistical techniques and reporting, timely production of deliverables, and documenting deliverables. The Data Scientist II is a member of the PsychSafe workforce, a Patient Safety Organization.
Qualifications:
Essential Duties and Responsibilities include the following.",3.5,"Horizon Health
3.5","Lewisville, TX",501 to 1000 Employees,1981.0,Company - Private,Health Care Services & Hospitals,Healthcare,$25 to $100 million (USD)
